 player                   ,ipl_debut , specialization      , date_of_birth , total_no_of_matches_in_ipl 
 Lhuandre Pretorius       ,2025, Batter              , 2006-03-28    ,0
 Liam Livingstone         ,2019, All rounder         , 1993-08-04    ,49
 Lungisani Ngidi          ,2018, Bowler              , 1996-03-29    ,16
 Luvnith Sisodia          ,      NULL , Wicketkeeper Batter , 2000-01-15    ,0
 M.Siddharth              ,2024, Bowler              , 1998-07-03    ,5
 Madhav Tiwari            ,2025, All rounder         , 2003-09-28    ,1
 Maheesh Theekshana       ,2022, Bowler              , 2000-08-01    ,38
 Mahipal Lomror           ,2018, All rounder         , 1999-11-16    ,40
 Manav Suthar             ,2024, Bowler              , 2002-08-03    ,1
 Manish Pandey            ,2008, Batter              , 1989-09-10    ,174
 Manoj Bhandage           ,2025, All rounder         , 1998-10-05    ,1
 Manvanth Kumar           ,      NULL , All rounder         , 2004-01-11    ,0
 Marco Jansen             ,2021, All rounder         , 2000-05-01    ,35
 Marcus Stoinis           ,2016, All rounder         , 1989-08-16    ,109
 Matheesha Pathirana      ,2022, Bowler              , 2002-12-18    ,32
 Matthew Breetzke         ,2025, Batter              , 1998-11-03    ,1
 Mayank Agarwal           ,2011, Batter              , 1991-02-18    ,131
 Mayank Markande          ,2018, Bowler              , 1997-11-11    ,37
 Mitch Owen               ,2025, All rounder         , 2001-09-16    ,1
 Mitchell Marsh           ,2010, All rounder         , 1991-10-20    ,55
 Mitchell Santner         ,2019, All rounder         , 1992-02-05    ,31
 Mitchell Starc           ,2014, Bowler              , 1990-01-30    ,52
 Moeen A11                ,2018, A11 rounder         , 1987-06-18    ,73
 Mohammed Shami           ,2013, Bowler              , 1990-09-03    ,119
 Mohammed Siraj           ,2017, Bowler              , 1994-03-13    ,108
 Mohd. Arshad Khan        ,2023, All rounder         , 1997-06-20    ,19
 Mohit Rathee             ,2023, Bowler              , 1999-01-13    ,1
 Mohit Sharma             ,2013, Bowler              , 1991-12-19    ,120
 MS Dhoni                 ,2008, Wicketkeeper Batter , 1981-07-07    ,278
 Mujeeb Ur Rahman         ,2018, Bowler              , 2001-03-28    ,20
 Mukesh Choudhary         ,2022, Bowler              , 1996-07-06    ,16
 Mukesh Kumar             ,2023, Bowler              , 1993-10-12    ,32
 Musheer Khan             ,2025, All rounder         , 2005-02-27    ,1
 Mustafizur Rahman        ,2016, Bowler              , 1995-09-06    ,60
 N.Tilak Varma            ,2022, Batter              , 2002-11-08    ,54
 Nandre Burger            ,2024, Bowler              , 1995-08-11    ,6
 Nathan Ellis             ,2021, Bowler              , 1994-09-22    ,17
 Nehal Wadhera            ,2023, Batter              , 2000-09-04    ,36
 Nicholas Pooran          ,2019, Wicketkeeper Batter , 1995-10-02    ,90
 Nishant Sindhu           ,      NULL , All rounder         , 2004-04-09    ,0
 Nitish Kumar Reddy       ,2023, All rounder         , 2003-05-26    ,28
 Noor Ahmed               ,2023, Bowler              , 2000-08-15    ,37
 Nuwan Thushara           ,2024, Bowler              , 1994-08-06    ,8
 Pat Cummins              ,2014, Bowler              , 1993-05-08    ,72
 Phil Salt                ,2023, Wicketkeeper Batter , 1996-08-28    ,34
 Prabhsimran Singh        ,2019, Wicketkeeper Batter , 2000-08-10    ,51
 Prasidh Krishna          ,2018, Bowler              , 1996-02-19    ,66
 Pravin Dubey             ,2020, Bowler              , 1993-07-01    ,5
 Prince Yadav             ,2025, Bowler              , 2001-12-12    ,6
 Priyansh Arya            ,2025, All rounder         , 2001-09-18    ,17
 Pyla Avinash             ,      NULL , Batter              , 2000-07-07    ,0
 Quinton de kock          ,2013, Wicketkeeper Batter , 1992-12-17    ,115
 Rachin Ravindra          ,2024, All rounder         , 1999-11-18    ,18
 Raghu Sharma             ,      NULL , Bowler              , 1993-03-11    ,0
 Rahmanullah Gurbaz       ,2003, Wicketkeeper Batter , 2001-11-28    ,19
 Rahul Chahar             ,2017, Bowler              , 1999-08-04    ,79
 Rahul Tewatia            ,2014, Bowler              , 1993-05-20    ,108
 Rahul Tripathi           ,2017, Batter              , 1991-03-02    ,100
 Raj Angad Bawa           ,2022, All rounder         , 2002-11-12    ,5
 Rajat Patidar            ,2021, Batter              , 1993-06-01    ,42
 Rajvardhan Hangargekar   ,2023, All rounder         , 2002-11-10    ,2
 Ramakrishna Ghosh        ,      NULL , All rounder         , 1997-08-28    ,0
 Ramandeep Singh          ,2022, A11 rounder         , 1997-04-13    ,31
 Rashid Khan              ,2017, Bowler              , 1998-09-20    ,136
 Rasikh Dar               ,2019, Bowler              , 2000-04-05    ,13
 Ravi Bishnoi             ,2020, Bowler              , 2000-09-05    ,77
 Ravichandran Ashwin      ,2009, All rounder         , 1986-09-17    ,221
 Ravindra Jadeja          ,2008, All rounder         , 1988-06-06    ,254
 Reece Topley             ,2023, Bowler              , 1994-02-21    ,6
 Richard Gleeson          ,2024, Bowler              , 1987-12-02    ,3
 Rinku Singh              ,2018, Batter              , 1997-10-12    ,59
 Rishabh Pant             ,2016, Wicketkeeper Batter , 1997-10-04    ,125
 Riyan Parag              ,2019, Batter              , 2001-11-10    ,84
 Robin Minz               ,2025, Wicketkeeper Batter , 2002-09-13    ,2
 Rohit Sharma             ,2008, Batter              , 1987-04-30    ,272
 Romario Shepherd         ,2022, All rounder         , 1994-11-26    ,18
 Sachin Baby              ,2013, Batter              , 1988-12-18    ,19
 Sai Kishore              ,2022, All rounder         , 1996-11-06    ,25
 Sai Sudharsan            ,2022, All rounder         , 2001-10-15    ,40
 Sam Curran               ,2019, All rounder         , 1998-06-03    ,64
 Sameer Rizvi             ,2024, All rounder         , 2003-12-06    ,13
 Sanju Samson             ,2013, Wicketkeeper Batter , 1994-11-11    ,177
 Sediqullah Atal          ,2025, Batter              , 2001-08-12    ,1
 Shahbaz Ahamed           ,2020, All rounder         , 1994-12-11    ,58
 Shahrukh Khan            ,2021, All rounder         , 1995-05-27    ,55
 Shaik Rasheed            ,2025, Batter              , 2004-09-24    ,5
 Shamar Joseph            ,2024, Bowler              , 1999-08-31    ,1
 Shardul Thakur           ,2015, All rounder         , 1991-10-16    ,105
 Shashank Singh           ,2022, Batter              , 1991-11-21    ,41
 Sherfane Rutherford      ,2019, Batter              , 1998-08-15    ,23
 Shimron Hetmyer          ,2019, Batter              , 1996-12-26    ,86
 Shivam Dube              ,2019, All rounder         , 1993-06-26    ,79
 Shivam Shukla            ,      NULL , Bowler              , 1995-12-11    ,0
 Shreyas Gopal            ,2014, Bowler              , 1993-09-04    ,12
 Shreyas Iyer             ,2015, Batter              , 1994-12-06    ,133
 Shrijith Krishnan        ,      NULL , Wicketkeeper Batter , 1996-08-12    ,0
 Shubham Dubey            ,2024, Batter              , 1994-07-27    ,12
 Shubman Gill             ,2018, Batter              , 1999-09-08    ,118
 Simarjeet Singh          ,2022, Bowler              , 1998-01-17    ,14
 Smaran Ravichandran      ,      NULL , Batter              , 2003-05-05    ,0
 Spencer Johnson          ,2024, Bowler              , 1995-12-16    ,9
 Sunil Narine             ,2012, Bowler              , 1988-05-26    ,189
